timestamp,verdict,latency_ms,packet_loss_pct,network_id
2026-02-21T17:27:04.631418,✅ Connected,39.72,0.0,345ec2aaf88608c2
2026-02-21T17:27:32.228653,✅ Connected,68.364,0.0,345ec2aaf88608c2
2026-02-21T17:28:02.673863,✅ Connected,79.693,0.0,345ec2aaf88608c2
2026-02-21T17:28:32.505974,✅ Connected,99.18,0.0,345ec2aaf88608c2
2026-02-21T17:29:04.134785,✅ Connected,44.671,0.0,345ec2aaf88608c2
2026-02-21T17:29:32.526828,📶 Degraded Performance,125.244,0.0,345ec2aaf88608c2
2026-02-21T17:30:02.239924,✅ Connected,35.588,0.0,345ec2aaf88608c2
2026-02-21T17:30:33.820751,✅ Connected,77.47,0.0,345ec2aaf88608c2
2026-02-21T17:31:02.335342,✅ Connected,51.831,0.0,345ec2aaf88608c2
2026-02-21T17:31:36.398972,✅ Connected,81.26,0.0,345ec2aaf88608c2
2026-02-21T17:32:02.353405,✅ Connected,68.926,0.0,345ec2aaf88608c2
2026-02-21T17:32:32.812449,📶 Degraded Performance,145.438,0.0,345ec2aaf88608c2
2026-02-21T17:33:02.533712,✅ Connected,58.805,0.0,345ec2aaf88608c2
2026-02-21T17:33:32.582890,✅ Connected,70.845,0.0,345ec2aaf88608c2
2026-02-21T17:34:02.489278,✅ Connected,49.416,0.0,345ec2aaf88608c2
2026-02-21T17:34:34.072587,⚠️ Unstable Connection,36.121,20.0,345ec2aaf88608c2
2026-02-21T17:35:02.852312,✅ Connected,68.642,0.0,345ec2aaf88608c2
2026-02-21T17:35:33.432082,✅ Connected,32.233,0.0,345ec2aaf88608c2
2026-02-21T17:36:03.522299,⚠️ Unstable Connection,53.561,20.0,345ec2aaf88608c2
2026-02-21T17:36:32.962215,✅ Connected,81.802,0.0,345ec2aaf88608c2
2026-02-21T17:37:02.990012,✅ Connected,54.785,0.0,345ec2aaf88608c2
2026-02-21T17:37:33.538423,✅ Connected,92.292,0.0,345ec2aaf88608c2
2026-02-21T17:38:02.601999,✅ Connected,58.159,0.0,345ec2aaf88608c2
2026-02-21T17:38:32.497410,✅ Connected,51.608,0.0,345ec2aaf88608c2
2026-02-21T17:39:02.345725,✅ Connected,28.855,0.0,345ec2aaf88608c2
2026-02-21T17:39:32.429818,✅ Connected,65.893,0.0,345ec2aaf88608c2
2026-02-21T17:40:02.940901,📶 Degraded Performance,141.132,0.0,345ec2aaf88608c2
2026-02-21T17:40:32.619801,✅ Connected,42.848,0.0,345ec2aaf88608c2
2026-02-21T17:41:02.620917,✅ Connected,26.139,0.0,345ec2aaf88608c2
2026-02-21T17:41:32.139696,✅ Connected,69.363,0.0,345ec2aaf88608c2
2026-02-21T17:42:02.775135,✅ Connected,54.446,0.0,345ec2aaf88608c2
2026-02-21T17:42:32.598975,✅ Connected,53.357,0.0,345ec2aaf88608c2
2026-02-21T17:43:02.647143,✅ Connected,80.879,0.0,345ec2aaf88608c2
2026-02-21T17:43:34.228853,✅ Connected,60.555,0.0,345ec2aaf88608c2
2026-02-21T17:44:02.676383,✅ Connected,56.076,0.0,345ec2aaf88608c2
2026-02-21T17:44:33.476091,✅ Connected,88.724,0.0,345ec2aaf88608c2
2026-02-21T17:45:16.936634,🔴 No Network Connection,,,345ec2aaf88608c2
2026-02-21T17:47:26.942219,🌍 ISP Outage,,,345ec2aaf88608c2
2026-02-21T17:47:56.992823,🌍 ISP Outage,,,345ec2aaf88608c2
